Title;Permalink;Slug;_yoast_wpseo_metadesc;_yoast_wpseo_title;_yoast_wpseo_focuskw;Status
Strategies on How to Accelerate Security Automation in the Cloud;https://localsite.com/webinar-strategies-to-accelerate-security-automation-in-the-cloud-gated/;webinar-strategies-to-accelerate-security-automation-in-the-cloud-gated;Tune in as Andrew Plato answers critical, frequently asked questions about cloud-based security automation.;;;publish
Webinar Replay: Strategies on How to Accelerate Security Automation in the Cloud;https://localsite.com/webinar-replay-strategies-on-how-to-accelerate-security-automation-in-the-cloud/;webinar-replay-strategies-on-how-to-accelerate-security-automation-in-the-cloud;You’re all set! You may begin watching the on-demand webinar now.;;;publish
Anitian at RSAC 2020;https://localsite.com/?page_id=27626;anitian-at-rsac-2020;Stop by Anitian's VIPCloudLounge during RSAC 2020 to relax and talk all things cloud, security, and compliance. Schedule a demo or briefing today.;;;draft
Anitian Compliance Automation Platform;https://localsite.com/compliance-automation/;compliance-automation;Anitian Compliance Automation Platform builds, configures & monitors cloud environments to accelerate compliance for standards like FedRAMP, PCI, and more.;Compliance Automation Platform %%sep%% Anitian;;publish
Contact;https://localsite.com/contact/;contact;Interested in using our services or have a question for the Anitian team? Contact us today and a member of our team will be in touch within 24 hours.;%%title%% %%page%% Us %%sep%% Anitian;Contact Us;publish
FedRAMP Solution Brief;https://localsite.com/fedramp-solution-sheet/;fedramp-solution-sheet;Learn how you can up your FedRAMP ATO timeline at enterprise scale with Anitian’s SecureCloud for Compliance Automation.;Download Now: %%title%% %%page%% %%sep%% Anitian;FedRAMP;publish
Solution Sheet Download - Thank You;https://localsite.com/solution-sheet-download-thank-you/;solution-sheet-download-thank-you;Thank you. A member of our team will email you the content you requested shortly.;;;publish
FedRAMP;https://localsite.com/fedramp-compliance-automation/;fedramp-compliance-automation;Get FedRAMP Compliance and Automation. Speed up your FedRAMP audit readiness. Find out how to accelerate your time-to-compliance.;FedRAMP Compliance and FedRAMP Automation %%sep%% Anitian;FedRAMP Compliance;publish
Get FedRAMP Audit-Ready in 60 Days: Achieving the Fastest Time-to-Revenue;https://localsite.com/webinar-get-fedramp-audit-ready-in-60-days-registration/;webinar-get-fedramp-audit-ready-in-60-days-registration;Learn how AWS and Anitian are helping government and business executives win contracts, enter new markets, and deliver value faster.;On-Demand Webinar: Get FedRAMP Audit-Ready in 60 Days %%sep%% Anitian;;publish
Webinar Replay: Get FedRAMP Audit-Ready in 60 Days;https://localsite.com/webinar-recording-thank-you-get-fedramp-audit-ready-in-60-days/;webinar-recording-thank-you-get-fedramp-audit-ready-in-60-days;You’re all set! You may begin watching the on-demand webinar now.;;;publish
PCI Solution Brief;https://localsite.com/pci-solution-sheet/;pci-solution-sheet;Learn how Anitian can help unify your PCI journey with the fastest, easiest, and most reliable path to PCI compliance.;Download Now: %%title%% %%page%% %%sep%% Anitian;PCI;publish
PCI;https://localsite.com/compliance-automation-pci/;compliance-automation-pci;Fast path PCI compliance automation and security. See how our PCI DSS cloud solution helps you dramatically accelerate PCI certification.;PCI Compliance Automation and Security %%sep%% Anitian;PCI Compliance Automation;publish
Leadership Team;https://localsite.com/leadership/;leadership;Anitian leadership team brings together years of experience in cloud security & compliance. Explore our leadership team's experience!;Leadership Team %%sep%% Anitian;leadership team;publish
Carahsoft & Anitian FedRAMP Solution Brief;https://localsite.com/carahsoft-anitian-fedramp-solution-brief/;carahsoft-anitian-fedramp-solution-brief;Learn how you can eliminate costly, 18-month consulting engagements with Anitian SecureCloud for Compliance Automation for FedRAMP.;;;publish
Business Growth;https://localsite.com/business-growth/;business-growth;Enter new markets, capture new business, and revenue 80% faster by leveraging the fastest path to security and compliance for cloud applications.;Business Growth | Anitian;;publish
Business Growth Solution Brief;https://localsite.com/business-growth-solution-brief/;business-growth-solution-brief;Learn how you can enter new markets, capture new business, and generate new revenue 80% faster with Anitian.;;Business Growth Solution Brief;publish
Careers;https://localsite.com/careers/;careers;Check out the wide range of cybersecurity career openings at Anitian. We attribute our advances in security and compliance to our people.;;Careers at Anitian;publish
SecureCloud for Enterprise Cloud Security Solution Brief;https://localsite.com/securecloud-solution-brief/;securecloud-solution-brief;Secure your applications from build-time through run-time by deploying a complete cloud-native, zero trust application environment on day 1.;;SecureCloud;publish
SecureCloud for Enterprise Cloud Security eBook;https://localsite.com/securecloud-ebook/;securecloud-ebook;Learn how Anitian SecureCloud for Enterprise Cloud Security can help you secure your applications from build-time through run-time.;;SecureCloud for Enterprise Cloud Security eBook;publish
About;https://localsite.com/about/;about;Anitian automates cloud security to accelerate your business growth. Discover our approach to help secure, start compliant, and stay ahead.;;;publish
Preparing for Your FedRAMP Journey;https://localsite.com/on-demand-webinar-preparing-for-your-fedramp-journey/;on-demand-webinar-preparing-for-your-fedramp-journey;Learn how AWS, Anitian, A-LIGN, and Carahsoft can help you dramatically accelerate your time-to-market and time-to-revenue.;;;publish
Webinar Replay: Preparing for Your FedRAMP Journey;https://localsite.com/webinar-replay-preparing-for-your-fedramp-journey/;webinar-replay-preparing-for-your-fedramp-journey;You’re all set! You may begin watching the on-demand webinar now.;;;publish
SecOps;https://localsite.com/secops/;secops;Get fast, simple, and continuous SecOps security. Check out the scalable security and compliance solutions from Anitian SecureCloud.;SecOps Automation and SecOps Security %%sep%% Anitian;;publish
Anitian & AWS SecureCloud for Enterprise Cloud Security eBook;https://localsite.com/aws-anitian-securecloud-ebook/;aws-anitian-securecloud-ebook;See how Anitian SecureCloud for Enterprise Cloud Security + AWS can get apps to the cloud faster with stronger security right out of the box.;;SecureCloud for Enterprise Cloud Security eBook;publish
SecureCloud for Compliance Automation Solution Brief;https://localsite.com/compliance-automation-platform-solution-brief/;compliance-automation-platform-solution-brief;Learn how Anitian's SecureCloud for Compliance Automation delivers the fastest path to security and compliance for cloud applications.;;compliance automation platform;publish
Demo Request;https://localsite.com/demo-request/;demo-request;Get an up-close look at Anitian’s pre-engineered and automated cloud security and compliance solutions. Learn how Anitian can help you.;;;publish
Anitian and Azure;https://localsite.com/azure-and-anitian/;azure-and-anitian;Fast path to Azure Compliance, Security, and FedRAMP readiness. Schedule a demo of our pre-engineered tools for FedRAMP automation on Azure.;Azure Compliance and Azure FedRAMP Services | Anitian;azure compliance;publish
Gartner Market Guide;https://localsite.com/gartner-market-guide/;gartner-market-guide;Download your complimentary copy of the Gartner Market Guide today to learn about the leading compliance automation tools in DevOps.;Gartner Market Guide for Compliance Automation Tools in DevOps %%sep%% Anitian;Gartner Market Guide for Compliance Automation Tools in DevOps;publish
Security on Cloud Podcast;https://localsite.com/podcast/;podcast;Anitian Security on Cloud podcast page featuring discussion on cloud security and compliance processes such as FedRAMP, CMMC, and PCI.;Security on Cloud Podcast %%sep%% Anitian;;publish
Anitian & Microsoft Azure FedRAMP Solution Brief;https://localsite.com/anitian-microsoft-azure-fedramp-solution-brief/;anitian-microsoft-azure-fedramp-solution-brief;Learn how you can quickly protect and certify cloud workloads with Anitian SecureCloud for Compliance Automation on Microsoft Azure.;;Microsoft Azure;publish
Anitian & AWS FedRAMP Solution Brief;https://localsite.com/anitian-aws-fedramp-solution-brief/;anitian-aws-fedramp-solution-brief;Discover how Anitian can help you achieve FedRAMP and maintain your ATO faster and easier than you ever thought possible on the AWS cloud.;;AWS;publish
The Real Facts;https://localsite.com/the-real-facts/;the-real-facts;Some consulting services providers claim to offer compliance automation technology and platforms. Here are the real facts about Anitian.;;;publish
How to Get FedRAMP Compliant and Give Your Business a Competitive Edge;https://localsite.com/on-demand-webinar-how-to-get-fedramp-compliant-and-give-your-business-a-competitive-edge/;on-demand-webinar-how-to-get-fedramp-compliant-and-give-your-business-a-competitive-edge;Learn how Anitian is helping cloud software vendors achieve FedRAMP to win new business, enter new markets, and deliver value to customers.;;FedRAMP Compliant;publish
Webinar Replay: How to Get FedRAMP Compliant and Give Your Business a Competitive Edge;https://localsite.com/webinar-replay-how-to-get-fedramp-compliant-and-give-your-business-a-competitive-edge/;webinar-replay-how-to-get-fedramp-compliant-and-give-your-business-a-competitive-edge;You’re all set! You may begin watching the on-demand webinar now.;;;publish
CloudStart DemoCast Series;https://localsite.com/?page_id=37890;cloudstart-series;Join us for the Anitian CloudStart DemoCast Series to get a no-nonsense view of the pre-built Compliance Automation Platform for AWS and Azure.;;;draft
Resources;https://localsite.com/resources/;resources;Get instant access to Anitian’s toolbox of compliance automation and security videos, news, case studies, documents, and more.;;;publish
Documents;https://localsite.com/resources/documents/;documents;Check out our recently released studies and reports on compliance automation, FedRamp certification, cloud security, and more.;;;publish
Press & News;https://localsite.com/resources/press-and-news/;press-and-news;Read about the latest security threats and how Anitian's technology and team are revolutionizing the security space and path to compliance.;;;publish
On-Demand Webinars;https://localsite.com/resources/on-demand-webinars/;on-demand-webinars;Get instant access to our compliance automation and security webinars. Watch them on-demand and learn how to keep your enterprise secure.;;;publish
Anitian Helps Orion Health Unify Operation in the Cloud;https://localsite.com/anitian-orion-health-case-study/;anitian-orion-health-case-study;;;;publish
Smartsheet Gets FedRAMP Certified in Record Time with Help from Anitian;https://localsite.com/anitian-smartsheet-case-study/;anitian-smartsheet-case-study;;;;publish
SAP Concur Turns to Anitian to Stay Compliant While Moving to AWS;https://localsite.com/anitian-sap-concur-case-study/;anitian-sap-concur-case-study;;;;publish
Anitian Helps World Web Technologies Gain Rapid PCI Compliance on AWS;https://localsite.com/anitian-wwt-case-study/;anitian-wwt-case-study;;;;publish
Case Studies;https://localsite.com/resources/case-studies/;case-studies;Read our case studies and see how we help enterprises drastically shorten the time to FedRamp certification and help them stay certified.;;;publish
Other Resources;https://localsite.com/resources/other-resources/;other-resources;Get instant access to Anitian’s toolbox of compliance automation and security resources. Stay up to date on the latest security trends!;;;publish
Partners;https://localsite.com/partners/;partners;Discover the global network of authorized partners at the heart of what makes Anitian successful. Explore our security platform partners.;Compliance Automation and Security Partners | Anitian;;publish
Achieving the Fastest Time to FedRAMP on Microsoft Azure;https://localsite.com/on-demand-webinar-achieving-the-fastest-time-to-fedramp-on-microsoft-azure/;on-demand-webinar-achieving-the-fastest-time-to-fedramp-on-microsoft-azure;Discover how to get audit-ready in just 60 days on Microsoft Azure.;;;publish
Webinar Replay: Achieving the Fastest Time to FedRAMP on Microsoft Azure: How to get audit-ready in just 60 days;https://localsite.com/webinar-replay-achieving-the-fastest-time-to-fedramp-on-microsoft-azure-how-to-get-audit-ready-in-just-60-days/;webinar-replay-achieving-the-fastest-time-to-fedramp-on-microsoft-azure-how-to-get-audit-ready-in-just-60-days;You’re all set! You may begin watching the on-demand webinar now.;;;publish
Orion Health Case Study;https://localsite.com/orion-health-anitian-case-study/;orion-health-anitian-case-study;After assessing various security solutions for AWS environments, Orion Health chose Anitian SecureCloud for Compliance Automation for help.;;Orion Health Case Study;publish
Smartsheet Case Study;https://localsite.com/smartsheet-anitian-case-study/;smartsheet-anitian-case-study;Learn how Anitian SecureCloud for Compliance Automation enabled Smartsheet to save time, cut costs, and achieve their ATO in record time.;;Smartsheet Case Study;publish
SAP Concur Case Study;https://localsite.com/sap-concur-anitian-case-study/;sap-concur-anitian-case-study;Learn how the Anitian SecureCloud for Compliance Automation helped SAP Concur stay compliant while completing their digital transformation.;;SAP Concur Case Study;publish
World Web Technologies Case Study;https://localsite.com/world-web-technologies-anitian-case-study/;world-web-technologies-anitian-case-study;Learn how Anitian helped World Web Technologies move a payment app to a flexible, PCI compliant, auto-scaling environment to the cloud.;;World Web Technologies Case Study;publish
How to Accelerate Time-to-Production with Automated DevSecOps;https://localsite.com/on-demand-webinar-how-to-accelerate-time-to-production-with-automated-devsecops/;on-demand-webinar-how-to-accelerate-time-to-production-with-automated-devsecops;Join Emily Cummins and John Vecchi to hear about the next evolution of automated cloud application security.;;DevSecOps;publish
Webinar Replay: How to Accelerate Time-to-Production with Automated DevSecOps;https://localsite.com/webinar-replay-how-to-accelerate-time-to-production-with-automated-devsecops/;webinar-replay-how-to-accelerate-time-to-production-with-automated-devsecops;You’re all set! You may begin watching the on-demand webinar now.;;;publish
Awards;https://localsite.com/awards/;awards;View Anitian's awards and industry recognition for quality of innovation and impact we have on helping businesses scale and stay secure. 7;Industry Awards & News | Anitian;;publish
Gartner Hype Cycle for Agile and DevOps;https://localsite.com/gartner-recognition/;gartner-recognition;Download the Gartner Hype Cycle™ for Agile and DevOps to learn how continuous compliance automation (CCA) can help grow your business.;;;publish
SecureCloud for Compliance Automation;https://localsite.com/securecloud-for-compliance-automation/;securecloud-for-compliance-automation;See how Anitian SecureCloud for Compliance Automation can get you FedRAMP audit-ready up to 80% faster, at 50% of the cost!;SecureCloud for Compliance Automation | Anitian;Compliance Automation;publish
SecureCloud Portfolio;https://localsite.com/securecloud/;securecloud;SecureCloud offers the fastest path to security and compliance for the cloud. Learn how SecureCloud solutions help you save money & resources;SecureCloud | Anitian;;publish
Automating Cloud Application Security & Compliance to Save Time, Money & Hassle;https://localsite.com/on-demand-webinar-automating-cloud-application-security-compliance-to-save-time-money-hassle/;on-demand-webinar-automating-cloud-application-security-compliance-to-save-time-money-hassle;Learn how to implement compliance automation & enterprise cloud security that gets you to production, market & revenue up to 80% faster, at 50% of the cost.;;security and compliance;publish
Webinar Replay: Automating Cloud Application Security & Compliance to Save Time, Money & Hassle;https://localsite.com/webinar-replay-automating-cloud-application-security-compliance-to-save-time-money-hassle/;webinar-replay-automating-cloud-application-security-compliance-to-save-time-money-hassle;You’re all set! You may begin watching the on-demand webinar now.;;;publish
Achieving FedRAMP on AWS: How Automation Can Get You Audit-Ready in 60 Days;https://localsite.com/on-demand-webinar-achieving-fedramp-on-aws-how-automation-can-get-you-audit-ready-in-60-days/;on-demand-webinar-achieving-fedramp-on-aws-how-automation-can-get-you-audit-ready-in-60-days;Learn how Anitian, AWS & A-LIGN are helping organizations win contracts, enter new markets, and accelerate their time-to-revenue on AWS.;;;publish
Webinar Replay: Achieving FedRAMP on AWS: How Automation Can Get You Audit-Ready in 60 Days;https://localsite.com/webinar-replay-achieving-fedramp-on-aws-how-automation-can-get-you-audit-ready-in-60-days/;webinar-replay-achieving-fedramp-on-aws-how-automation-can-get-you-audit-ready-in-60-days;You’re all set! You may begin watching the on-demand webinar now.;;;publish
Definitive Guide™ to Cloud Compliance Automation;https://localsite.com/definitive-guide-to-cloud-compliance-automation/;definitive-guide-to-cloud-compliance-automation;Learn how to make cloud applications FedRAMP, PCI, CMMC, or StateRAMP audit-ready in weeks and keep them secure and compliant over time.;;SecureCloud eBook;publish
SentinelOne Case Study;https://localsite.com/sentinelone-case-study/;sentinelone-case-study;Learn how SentinelOne achieved FedRAMP ATO status in only 8 months by leveraging Anitian SecureCloud for Compliance Automation.;;SentinelOne;publish
Anitian SecureCloud for Enterprise Cloud Security;https://localsite.com/securecloud-for-enterprise-cloud-security/;securecloud-for-enterprise-cloud-security;Enterprise cloud security from SecureCloud. Secure your apps from cloud to production up to 80% faster. Check out SecureCloud for Enterprise;Enterprise Cloud Security with SecureCloud | Anitian;Enterprise Cloud Security;publish
Preparing for Your 2022 FedRAMP Journey: How to get audit-ready in just 60 days on Microsoft Azure;https://localsite.com/on-demand-webinar-preparing-for-your-2022-fedramp-journey-how-to-get-audit-ready-in-just-60-days-on-microsoft-azure/;on-demand-webinar-preparing-for-your-2022-fedramp-journey-how-to-get-audit-ready-in-just-60-days-on-microsoft-azure;Discover how Anitian’s pre-engineered SecureCloud for Compliance Automation on Microsoft Azure can get you FedRAMP audit-ready 80% faster.;;;publish
Webinar Replay: Preparing for Your 2022 FedRAMP Journey: How to get audit-ready in just 60 days on Microsoft Azure;https://localsite.com/webinar-replay-preparing-for-your-2022-fedramp-journey-how-to-get-audit-ready-in-just-60-days-on-microsoft-azure/;webinar-replay-preparing-for-your-2022-fedramp-journey-how-to-get-audit-ready-in-just-60-days-on-microsoft-azure;Hear how experts from Microsoft Azure,  Anitian, and A-LIGN can help you simplify and accelerate your FedRAMP journey from start to finish.;;FedRAMP Microsoft Azure;publish
Happy Holidays;https://localsite.com/happy-holidays/;happy-holidays;Happy Holidays! From all of us here at Anitian, wishing you a very happy, healthy, and joyful holiday season.;;Happy Holidays;publish
Homepage 2022;https://localsite.com/;homepage-2022;Anitian enables high-growth SaaS enterprises with the fastest path to enterprise security and compliance for cloud applications.;Enterprise Security and Cloud Compliance Tools | Anitian;;publish
Commercial Compliance;https://localsite.com/commercial-compliance/;commercial-compliance;Commercial compliance from Anitian puts you on the fast path to PCI, ISO 27001, and SOC 2 Compliance. Get complete cloud security.;Commercial Compliance - SOC 2 Compliance Automation | Anitian;commercial compliance;publish
Partner Program;https://localsite.com/partner-program/;partner-program;Our global network of authorized Partners is at the heart of what makes Anitian successful. Learn more about the Accelerate Partner Program.;Anitian Accelerate Partner Program %%sep%% Anitian;;publish
How to Accelerate Your 2022 FedRAMP Journey: Get audit-ready 80% faster at 50% of the cost on AWS;https://localsite.com/how-to-accelerate-your-2022-fedramp-journey-get-audit-ready-80-faster-at-50-of-the-cost-on-aws/;how-to-accelerate-your-2022-fedramp-journey-get-audit-ready-80-faster-at-50-of-the-cost-on-aws;Learn how you can simplify & accelerate your entire FedRAMP journey with AWS, Anitian, and First Information Technology Services (FITS).;;;publish
Webinar Replay: How to Accelerate Your 2022 FedRAMP Journey: Get audit-ready 80% faster at 50% of the cost on AWS;https://localsite.com/webinar-replay-how-to-accelerate-your-2022-fedramp-journey-get-audit-ready-80-faster-at-50-of-the-cost-on-aws/;webinar-replay-how-to-accelerate-your-2022-fedramp-journey-get-audit-ready-80-faster-at-50-of-the-cost-on-aws;;;;publish
Become a Partner;https://localsite.com/partners/become-a-partner/;become-a-partner;;;;publish
Hubspot chat bot (TESTING);https://localsite.com/chat-bot-testing/;chat-bot-testing;;;;publish
Ponemon Report;https://localsite.com/ponemon/;ponemon;The Post-COVID Cloud Boom highlights the effects COVID-19 impacted organizations' business growth, security posture, and financial strength.;;Ponemon Report;publish
Marketplace EULA;https://localsite.com/marketplace-eula/;marketplace-eula;This End User License Agreement (“EULA”) governs Subscriber’s license and use of certain Software and/or Products developed by Anitian, Inc.;;;publish
Newsletter Signup;https://localsite.com/newsletter-signup/;newsletter-signup;Secure your applications from build-time through run-time by deploying a complete cloud-native, zero trust application environment on day 1.;;SecureCloud;publish
PCI DSS;https://localsite.com/securecloud-for-compliance-automation/pci/;pci;Simply the fastest path to PCI compliance. Get compliant and audit-ready up to 80% faster by automating your compliance.;Anitian | %%title%%;PCI DSS;publish
AWS re:Inforce;https://localsite.com/anitian-at-aws-reinforce/;anitian-at-aws-reinforce;Hear from our experts, grab some swag, and learn how to automate and streamline your cloud security and compliance with Anitian.;AWS re:Inforce 2022;AWS re:Inforce 2022;publish
Black Hat USA 2022;https://localsite.com/anitian-at-black-hat/;anitian-at-black-hat;Hear from our experts at Black Hat USA 2022, grab some swag, and learn how to automate and streamline your cloud security and compliance.;%%title%% %%page%%;Black Hat USA 2022;publish
Webinar Replay: How to Speed Up FedRAMP on Azure by Up to 80%;https://localsite.com/webinar-replay-how-to-speed-up-fedramp-on-azure-by-up-to-80/;webinar-replay-how-to-speed-up-fedramp-on-azure-by-up-to-80;Hear Anitian, Microsoft Azure, Schellman, and Carahsoft discuss how a pre-engineered compliance automation platform can simplify FedRAMP.;;;publish
How to Speed Up FedRAMP on Azure by Up to 80%;https://localsite.com/how-to-speed-up-fedramp-on-azure-by-up-to-80/;how-to-speed-up-fedramp-on-azure-by-up-to-80;Hear the pros from Anitian, Microsoft Azure, Schellman & Carahsoft discuss how a pre-engineered compliance automation platform can help simplify FedRAMP.;;fedramp on Azure;publish
Events;https://localsite.com/events/;events;Check out Anitian upcoming events and webinars. Chat with us about how we enable high-growth enterprises with the fastest path to security.;Upcoming Events;Events;publish
SOC 2;https://localsite.com/securecloud-for-compliance-automation/soc-2/;soc-2;Simply the fastest path to SOC 2 compliance. Get compliant and audit-ready up to 80% faster by automating your compliance.;Anitian | %%title%%;SOC 2;publish
ISO 27001;https://localsite.com/securecloud-for-compliance-automation/iso-27001/;iso-27001;Take the fastest path to ISO 27001 Compliance. Streamline the process and get audit ready up to 80% faster and automate ISO 27001 compliance.;ISO 27001 Compliance Automation and Cloud Security | Anitian;ISO 27001 compliance;publish
FedRAMP;https://localsite.com/securecloud-for-compliance-automation/fedramp/;fedramp;Anitian’s SecureCloud for Compliance Automation can get you FedRAMP audit-ready up to 80% faster, at 50% of the cost.;Anitian | %%title%%;FedRAMP;publish
testing-home-slider;https://localsite.com/testing-home-slider/;testing-home-slider;Anitian enables high-growth SaaS enterprises with the fastest path to security and compliance for existing and new cloud applications.;Anitian | Accelerate Your Path to Security and Compliance;;publish
StateRAMP;https://localsite.com/securecloud-for-compliance-automation/stateramp/;stateramp;Simply the fastest path to StateRAMP compliance. Get compliant and audit-ready up to 80% faster by automating your compliance.;Anitian | %%title%%;StateRAMP;publish
Private Offer Form;https://localsite.com/private-offer/;private-offer;;;;publish
FedRAMP Technical Readiness Assessment;https://localsite.com/anitian-fedramp-technical-readiness-assessment/;anitian-fedramp-technical-readiness-assessment;Enterprise cloud security from SecureCloud. Secure your apps from cloud to production up to 80% faster. Check out SecureCloud for Enterprise;Enterprise Cloud Security with SecureCloud | Anitian;Enterprise Cloud Security;publish
Technical Readiness Assessment;https://localsite.com/fedramp-technical-readiness-assessment/;fedramp-technical-readiness-assessment;Anitian’s Technical Readiness Assessment (TRA) for FedRAMP is a hybrid, technology-plus-expertise solution that answers your FedRAMP questions for application and services operating from AWS or Azure cloud platforms.;FedRAMP Technical Readiness Assessment | Anitian;FedRAMP Technical Readiness Assessment;publish
